Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S03-A17,434_1,Reference,1,,PBEF,Test,B-actin,13.49316788,0.97,Pass,0.065920425,999,0,Fail,2.177872476,0.775,Pass,999,0,Fail
S03-A18,434_1,Reference,1,,DDX58/RIG-1,Test,B-actin,17.2105246,0.91,Pass,0.082450283,999,0,Fail,5.895229191,0.775,Pass,999,0,Fail
S03-A19,434_1,Reference,1,,OAS3,Test,B-actin,20.15358731,0.94,Pass,0.059583791,999,0,Fail,8.838291906,0.775,Pass,999,0,Fail
S03-A20,434_1,Reference,1,,LY6E,Test,B-actin,16.65693229,0.8,Pass,0.033133264,999,0,Fail,5.341636883,0.775,Pass,999,0,Fail
S03-A21,434_1,Reference,1,,APOBEC3B,Test,B-actin,22.09605013,0.95,Pass,0.049384689,999,0,Fail,10.78075473,0.775,Pass,999,0,Fail
S03-A22,434_1,Reference,1,,IL1A,Test,B-actin,17.11269642,0.78,Pass,0.019695109,999,0,Fail,5.797401012,0.775,Pass,999,0,Fail
S03-A23,434_1,Reference,1,,IL1B,Test,B-actin,12.28717454,0.99,Pass,0.092491138,999,0,Fail,0.971879133,0.775,Pass,999,0,Fail
S03-A24,434_1,Reference,1,,IRF5,Test,B-actin,18.00221208,0.92,Pass,0.068747972,999,0,Fail,6.686916675,0.775,Pass,999,0,Fail
S03-A25,434_1,Reference,1,,NK4(IL-32),Test,B-actin,13.5464868,0.77,Pass,0.035987112,999,0,Fail,2.231191397,0.77,Pass,999,0,Fail
S03-A26,434_1,Reference,1,,CCL20,Test,B-actin,18.2550004,0.82,Pass,0.066028727,999,0,Fail,6.939704998,0.775,Pass,999,0,Fail
S03-A27,434_1,Reference,1,,CCL22,Test,B-actin,15.82546718,0.97,Pass,0.062759131,999,0,Fail,4.510171771,0.775,Pass,999,0,Fail
S03-A28,434_1,Reference,1,,CCL2,Test,B-actin,14.79838503,0.81,Pass,0.041469833,999,0,Fail,3.483089625,0.775,Pass,999,0,Fail
S03-A29,434_1,Reference,1,,LPL,Test,B-actin,20.4415347,0.9,Pass,0.081767941,999,0,Fail,9.126239295,0.775,Pass,999,0,Fail
S03-A30,434_1,Reference,1,,OPN(SPP1),Test,B-actin,13.98985451,0.95,Pass,0.08927187,999,0,Fail,2.674559103,0.775,Pass,999,0,Fail
S03-A31,434_1,Reference,1,,B-actin,Reference,,11.45261286,0.78,Pass,0.031186689,999,0,Fail,999,0,Fail,999,0,Fail
S03-A32,434_1,Reference,1,,GAPDH,Test,B-actin,11.0025414,0.75,Pass,0.078078015,999,0,Fail,-0.312754006,0.75,Pass,999,0,Fail
S03-A33,434_1,Reference,1,,18S,Test,B-actin,22.32613225,0.91,Pass,0.052145133,999,0,Fail,11.01083685,0.775,Pass,999,0,Fail
S03-A34,434_1,Reference,1,,,NRC,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A35,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A36,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A37,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A38,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A39,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A40,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A41,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
